District,State,Hispanic,White,Black,AmericanIndian,Asian,PacificIslander,Other,Multiple races,Total
12,Georgia,"44,408","394,350","248,923",845,"9,875",0,"2,514","12,231","713,146"
13,Georgia,"90,311","200,482","434,464",153,"17,980",2,"1,215","10,649","755,256"
14,Georgia,"79,907","539,822","60,776","1,142","7,833",133,"2,057","12,438","704,108"
1,Hawaii,"59,345","118,369","16,231",508,"340,784","47,960",923,"121,653","705,773"
2,Hawaii,"89,360","207,783","11,299","1,731","176,635","77,492",771,"160,759","725,830"
1,Idaho,"89,572","714,522","3,730","10,322","8,421","1,111",195,"21,728","849,601"
2,Idaho,"110,268","652,512","5,098","8,515","11,994",564,273,"16,105","805,329"
1,Illinois,"70,992","255,718","363,186",981,"12,425",153,"1,368","12,624","717,447"
2,Illinois,"93,159","200,179","393,793",361,"5,254",0,"1,312","8,616","702,674"
3,Illinois,"239,834","412,835","36,617",233,"29,406",28,944,"7,587","727,484"
4,Illinois,"496,364","154,976","24,609",764,"24,090",180,"1,006","6,183","708,172"
5,Illinois,"149,303","500,432","20,806",784,"46,171",82,609,"17,798","735,985"
6,Illinois,"86,322","542,050","20,945",340,"63,183",149,715,"12,743","726,447"
7,Illinois,"101,843","202,381","349,860",983,"55,151",9,716,"10,378","721,321"
8,Illinois,"197,735","364,821","31,195",374,"98,193",943,"1,417","15,789","710,467"
9,Illinois,"81,648","462,579","60,784","1,015","96,380",372,"1,364","18,126","722,268"
10,Illinois,"160,421","415,200","49,871",380,"73,770",8,"1,533","13,068","714,251"
11,Illinois,"198,190","383,318","79,176",640,"54,296",74,785,"13,132","729,611"
12,Illinois,"23,119","532,978","118,805","1,352","8,126",162,829,"13,998","699,369"
13,Illinois,"21,633","556,094","78,683",952,"28,225",500,"1,311","19,198","706,596"
14,Illinois,"82,290","579,442","21,875",174,"34,281",147,533,"9,694","728,436"
15,Illinois,"19,414","640,158","31,716",769,"4,294",123,218,"6,961","703,653"
16,Illinois,"66,569","584,431","27,593","1,362","9,544",83,"1,548","10,145","701,275"
17,Illinois,"63,485","524,001","79,828",811,"8,857",81,508,"13,804","691,375"
18,Illinois,"19,667","636,838","24,105",807,"17,949",97,"1,148","12,553","713,164"
